"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.838000833E0,-1.260301553E-2,4.910078745E-2,-6.778244412E-1,6.797173651E-1
2.847969833E0,-4.850100931E-2,-1.386668288E-1,-6.831880921E-1,6.988038398E-1
2.857938833E0,-1.567459445E-2,-1.741158295E-1,4.915619713E-1,5.217232855E-1
2.867906833E0,1.601663099E-1,-1.582158249E-1,1.011084743E0,1.035846442E0
2.877875833E0,-1.877690781E-2,-9.215898916E-2,4.471278101E-1,4.569126067E-1
2.887844833E0,-1.400250274E-1,1.904474683E-1,-6.221028149E-1,6.654991802E-1
2.897812833E0,-3.856997399E-1,8.198914625E-2,-1.369220855E0,1.424869207E0
2.907781833E0,-5.648991753E-1,-1.457440794E-1,-6.477662444E-2,5.869824750E-1
2.917750833E0,-5.604607731E-1,-4.256877879E-1,8.055030727E-1,1.069654884E0
2.927718833E0,-2.558648745E-1,-2.393575634E-1,6.265478683E-1,7.178586967E-1
2.937687833E0,3.876728463E-1,3.628935158E-1,-3.094188648E-1,6.145908993E-1
2.947656833E0,4.996552121E-1,6.619071507E-1,-9.598303896E-1,1.268483655E0
2.957625833E0,2.060405672E-1,3.361075305E-1,-1.085085350E-1,4.088949615E-1
2.967593833E0,1.585658904E-2,-2.105472356E-1,-1.226395011E-2,2.114993482E-1
2.977562833E0,-2.049919787E-1,-5.000274239E-1,5.844941086E-1,7.960417696E-1
2.987531833E0,-5.196826201E-2,-4.356720548E-1,6.291001779E-1,7.669927467E-1
